Scientific_name,Family,Status,Group,Common_name,Type,Specie_ID,Country
Erigeron decumbens,Asteraceae,Endangered,Flowering Plants,Willamette daisy,Plant,https://ecos.fws.gov//ecp/species/6270,USA
Ovis ammon,,Endangered,Mammals,Argali,Animal,https://ecos.fws.gov//ecp/species/2085,
Accipiter fasciatus natalis,,Endangered,Birds,Christmas Island goshawk,Animal,https://ecos.fws.gov//ecp/species/4612,
Acipenser sinensis,,Endangered,Fishes,Chinese sturgeon,Animal,https://ecos.fws.gov//ecp/species/9749,
Oncorhynchus (=Salmo) tshawytscha,,Endangered,Fishes,Chinook salmon,Animal,https://ecos.fws.gov//ecp/species/8091,USA
Amazona vinacea,,Endangered,Birds,Vinaceous-breasted parrot,Animal,https://ecos.fws.gov//ecp/species/5944,
Brachylophus vitiensis,,Endangered,Reptiles,Fiji crested iguana,Animal,https://ecos.fws.gov//ecp/species/3108,
Corvus leucognaphalus,,Endangered,Birds,White-necked crow,Animal,https://ecos.fws.gov//ecp/species/1632,
Ipomopsis sancti-spiritus,Polemoniaceae,Endangered,Flowering Plants,Holy Ghost ipomopsis,Plant,https://ecos.fws.gov//ecp/species/8231,
Quisicalus palustris,,Endangered,Birds,Slender-billed Grackle,Animal,https://ecos.fws.gov//ecp/species/7262,
Symphalangus syndactylus,,Endangered,Mammals,Siamang,Animal,https://ecos.fws.gov//ecp/species/1766,
Picathartes oreas,,Endangered,Birds,Grey-necked rockfowl,Animal,https://ecos.fws.gov//ecp/species/3906,
Delphinapterus leucas,,Endangered,Mammals,beluga whale,Animal,https://ecos.fws.gov//ecp/species/9158,
Epioblasma obliquata obliquata,,"Experimental Population, Non-Essential",Clams,Purple Cat's paw (=Purple Cat's paw pearlymussel),Animal,USA
Phacelia submutica,Hydrophyllaceae,Threatened,Flowering Plants,DeBeque phacelia,Plant,https://ecos.fws.gov//ecp/species/4639,USA
Tryonia alamosae,,Endangered,Snails,Alamosa springsnail,Animal,https://ecos.fws.gov//ecp/species/4371,
Gilia tenuiflora ssp. arenaria,Polemoniaceae,Endangered,Flowering Plants,Monterey gilia,Plant,https://ecos.fws.gov//ecp/species/856,
Speyeria zerene behrensii,,Endangered,Insects,Behren's silverspot butterfly,Animal,https://ecos.fws.gov//ecp/species/900,
Sylvilagus palustris hefneri,,Endangered,Mammals,Lower Keys marsh rabbit,Animal,https://ecos.fws.gov//ecp/species/2658,
Thamnophis sirtalis tetrataenia,,Endangered,Reptiles,San Francisco garter snake,Animal,https://ecos.fws.gov//ecp/species/5956,
Labordia lorenciana,Loganiaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/9625,
Acipenser oxyrinchus oxyrinchus,,Endangered,Fishes,Atlantic sturgeon,Animal,https://ecos.fws.gov//ecp/species/3252,
Charadrius melodus,,Threatened,Birds,Piping Plover,Animal,https://ecos.fws.gov//ecp/species/6039,USA
Potamilus inflatus,,Threatened,Clams,Inflated heelsplitter,Animal,https://ecos.fws.gov//ecp/species/7286,
Microtus californicus scirpensis,,Endangered,Mammals,Amargosa vole,Animal,https://ecos.fws.gov//ecp/species/7963,USA
Alligator sinensis,,Endangered,Reptiles,Chinese alligator,Animal,https://ecos.fws.gov//ecp/species/6602,
Rallus longirostris obsoletus,,Endangered,Birds,California clapper rail,Animal,https://ecos.fws.gov//ecp/species/4240,
Partulina variabilis,,Endangered,Snails,Lanai tree snail,Animal,https://ecos.fws.gov//ecp/species/8256,
Wilkesia hobdyi,Asteraceae,Endangered,Flowering Plants,Dwarf iliau,Plant,https://ecos.fws.gov//ecp/species/5565,USA
Glaucopsyche lygdamus palosverdesensis,,Endangered,Insects,Palos Verdes blue butterfly,Animal,https://ecos.fws.gov//ecp/species/8535,USA
Poecilotheria smithi,,Endangered,Arachnids,Kandy Parachute Spider,Animal,https://ecos.fws.gov//ecp/species/9113,
Ateles geoffroyi frontatus,,Endangered,Mammals,Spider monkey,Animal,https://ecos.fws.gov//ecp/species/6184,
Astragalus pycnostachyus var. lanosissimus,Fabaceae,Endangered,Flowering Plants,Ventura Marsh Milk-vetch,Plant,https://ecos.fws.gov//ecp/species/1160,USA
Arctostaphylos morroensis,Ericaceae,Threatened,Flowering Plants,Morro manzanita,Plant,https://ecos.fws.gov//ecp/species/2934,
Aphelocoma coerulescens,,Threatened,Birds,Florida scrub-jay,Animal,https://ecos.fws.gov//ecp/species/6174,
Charadrius melodus,,Endangered,Birds,Piping Plover,Animal,https://ecos.fws.gov//ecp/species/6039,
Cichlherminia iherminieri santaeluciae,,Endangered,Birds,St. Lucia Forest thrush,Animal,https://ecos.fws.gov//ecp/species/4117,
Eleutherodactylus juanariveroi,,Endangered,Amphibians,Llanero Coqui,Animal,https://ecos.fws.gov//ecp/species/8681,USA
Phyllostegia knudsenii,Lamiaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/5098,USA
Trionyx hurum,,Endangered,Reptiles,Peacock softshell turtle,Animal,https://ecos.fws.gov//ecp/species/6629,
Caulanthus californicus,Brassicaceae,Endangered,Flowering Plants,California jewelflower,Plant,https://ecos.fws.gov//ecp/species/4599,
Vetericaris chaceorum,,Endangered,Crustaceans,Anchialine pool shrimp,Animal,https://ecos.fws.gov//ecp/species/5665,
Cyrtandra filipes,Gesneriaceae,Endangered,Flowering Plants,Ha`iwale,Plant,https://ecos.fws.gov//ecp/species/8527,USA
Pleurobema plenum,,Endangered,Clams,Rough pigtoe,Animal,https://ecos.fws.gov//ecp/species/6894,
Vernonia proctorii,Asteraceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/3621,
Kanaloa kahoolawensis,Fabaceae,Endangered,Flowering Plants,Kohe malama malama o kanaloa,Plant,https://ecos.fws.gov//ecp/species/8191,USA
Etheostoma sellare,,Endangered,Fishes,Maryland darter,Animal,https://ecos.fws.gov//ecp/species/5135,
Hylaeus mana,,Endangered,Insects,Hawaiian yellow-faced bee,Animal,https://ecos.fws.gov//ecp/species/9007,
Meda fulgida,,Endangered,Fishes,Spikedace,Animal,https://ecos.fws.gov//ecp/species/6493,
Oncorhynchus clarkii stomias,,Threatened,Fishes,Greenback Cutthroat trout,Animal,https://ecos.fws.gov//ecp/species/2775,
Ceanothus ferrisae,Rhamnaceae,Endangered,Flowering Plants,Coyote ceanothus,Plant,https://ecos.fws.gov//ecp/species/8440,
Chionanthus pygmaeus,Oleaceae,Endangered,Flowering Plants,Pygmy fringe-tree,Plant,https://ecos.fws.gov//ecp/species/1084,
Quadrula fragosa,,Endangered,Clams,Winged Mapleleaf,Animal,https://ecos.fws.gov//ecp/species/4127,
Capra falconeri (=aegragrus) chiltanensis,,Endangered,Mammals,Chiltan (=wild goat) markhor,Animal,https://ecos.fws.gov//ecp/species/5518,
Picoides borealis,,Endangered,Birds,Red-cockaded woodpecker,Animal,https://ecos.fws.gov//ecp/species/7614,
Polioptila californica californica,,Threatened,Birds,Coastal California gnatcatcher,Animal,https://ecos.fws.gov//ecp/species/8178,USA
Ursus thibetanus gedrosianus,,Endangered,Mammals,Baluchistan bear,Animal,https://ecos.fws.gov//ecp/species/2983,
Colubrina oppositifolia,Rhamnaceae,Endangered,Flowering Plants,Kauila,Plant,https://ecos.fws.gov//ecp/species/850,USA
Labordia tinifolia var. lanaiensis,Loganiaceae,Endangered,Flowering Plants,Kamakahala,Plant,https://ecos.fws.gov//ecp/species/4664,
Malacothamnus clementinus,Malvaceae,Endangered,Flowering Plants,San Clemente Island bush-mallow,Plant,https://ecos.fws.gov//ecp/species/6714,
